task,stimulus,n_fixations,fixation_duration
FreeViewing,Natural,126,354.6190476190476
Fixation,Waldo,4,11248.0
FreeViewing,Puzzle,171,251.183908045977
FreeViewing,Waldo,106,410.39622641509436
Fixation,Natural,14,3207.8571428571427
FreeViewing,Waldo,111,387.9642857142857
Fixation,Waldo,19,2365.2631578947367
FreeViewing,Waldo,79,559.475
Fixation,Puzzle,37,1208.3243243243244
Fixation,Puzzle,24,1786.16
Fixation,Waldo,21,2136.8571428571427
FreeViewing,Puzzle,171,243.33333333333334
Fixation,Waldo,11,4064.0
Fixation,Puzzle,18,2480.777777777778
FreeViewing,Natural,119,367.93333333333334
FreeViewing,Waldo,100,425.18446601941747
Fixation,Waldo,19,2348.842105263158
Fixation,Natural,78,563.6153846153846
FreeViewing,Natural,142,308.0422535211268
FreeViewing,Waldo,136,320.3382352941176
FreeViewing,Natural,198,214.46
Fixation,Waldo,87,495.6551724137931
FreeViewing,Waldo,171,243.0340909090909
FreeViewing,Puzzle,193,207.36
FreeViewing,Puzzle,171,242.95454545454547
FreeViewing,Puzzle,142,294.13605442176873
FreeViewing,Puzzle,152,278.46451612903223
FreeViewing,Natural,169,237.97701149425288
Fixation,Waldo,23,1941.4782608695652
Fixation,Waldo,33,1351.5757575757575
FreeViewing,Puzzle,116,361.8305084745763
Fixation,Waldo,6,7478.0
FreeViewing,Natural,157,274.0253164556962
Fixation,Puzzle,19,2342.9473684210525
Fixation,Puzzle,13,3438.6153846153848
Fixation,Puzzle,56,785.6428571428571
FreeViewing,Natural,110,401.1090909090909
Fixation,Natural,9,4983.777777777777
FreeViewing,Waldo,97,448.37113402061857
Fixation,Natural,6,7466.666666666667
FreeViewing,Waldo,113,378.90434782608696
Fixation,Puzzle,10,4471.8
Fixation,Waldo,8,5584.0
FreeViewing,Waldo,119,359.1333333333333
Fixation,Puzzle,6,7478.666666666667
Fixation,Natural,19,2338.5263157894738
Fixation,Natural,17,2624.705882352941
FreeViewing,Natural,152,254.78481012658227
Fixation,Waldo,50,874.72
FreeViewing,Natural,161,226.48192771084337
FreeViewing,Waldo,130,278.014598540146
Fixation,Natural,41,1055.560975609756
FreeViewing,Puzzle,155,238.02409638554218
FreeViewing,Waldo,120,293.6666666666667
Fixation,Puzzle,21,2115.4285714285716
FreeViewing,Waldo,131,338.6106870229008
FreeViewing,Puzzle,151,283.2287581699346
FreeViewing,Waldo,125,345.44444444444446
Fixation,Natural,42,1054.7142857142858
FreeViewing,Waldo,194,209.8051282051282
Fixation,Puzzle,64,687.96875
Fixation,Natural,48,919.7916666666666
Fixation,Puzzle,54,813.2962962962963
Fixation,Natural,58,766.0
FreeViewing,Puzzle,218,189.26785714285714
Fixation,Waldo,61,722.8524590163935
Fixation,Puzzle,78,565.6923076923077
FreeViewing,Natural,242,174.5121951219512
FreeViewing,Natural,211,198.7926267281106
FreeViewing,Natural,182,236.59139784946237
Fixation,Puzzle,22,2033.5454545454545
Fixation,Waldo,37,1204.4864864864865
FreeViewing,Puzzle,219,196.66666666666666
Fixation,Waldo,36,1234.2222222222222
FreeViewing,Puzzle,260,162.4318181818182
Fixation,Waldo,28,1575.0
Fixation,Natural,32,1385.6875
Fixation,Waldo,29,1306.8235294117646
Fixation,Waldo,68,597.8918918918919
FreeViewing,Puzzle,138,304.4583333333333
FreeViewing,Waldo,110,398.6306306306306
Fixation,Puzzle,29,1275.0285714285715
Fixation,Puzzle,47,823.4444444444445
Fixation,Waldo,82,495.97752808988764
FreeViewing,Natural,129,339.57251908396944
FreeViewing,Waldo,90,483.75555555555553
FreeViewing,Puzzle,100,421.25
Fixation,Puzzle,27,1585.0
FreeViewing,Puzzle,89,486.24175824175825
Fixation,Puzzle,34,1107.3
Fixation,Natural,21,1933.4782608695652
FreeViewing,Natural,121,365.02479338842977
FreeViewing,Puzzle,104,428.0769230769231
FreeViewing,Waldo,73,575.2266666666667
Fixation,Natural,30,1340.969696969697
FreeViewing,Waldo,71,617.3888888888889
Fixation,Natural,8,3723.3333333333335
FreeViewing,Natural,99,440.44
FreeViewing,Waldo,108,391.39285714285717
Fixation,Natural,15,2343.2631578947367
Fixation,Natural,19,2340.7368421052633
FreeViewing,Puzzle,86,485.8636363636364
Fixation,Puzzle,21,1779.92
Fixation,Waldo,9,4055.818181818182
Fixation,Waldo,18,2231.2
FreeViewing,Natural,94,463.0625
FreeViewing,Natural,106,387.61467889908255
FreeViewing,Natural,98,454.85714285714283
FreeViewing,Puzzle,116,374.37606837606836
FreeViewing,Puzzle,134,331.02985074626866
Fixation,Natural,29,1541.655172413793
FreeViewing,Natural,136,320.3478260869565
FreeViewing,Waldo,120,367.9504132231405
Fixation,Natural,19,1940.608695652174
FreeViewing,Waldo,176,234.48314606741573
FreeViewing,Waldo,150,294.03973509933775
Fixation,Puzzle,29,1400.3125
Fixation,Waldo,37,1062.142857142857
Fixation,Waldo,50,824.1481481481482
FreeViewing,Puzzle,129,344.6821705426357
Fixation,Puzzle,18,2132.190476190476
Fixation,Waldo,66,606.9589041095891
Fixation,Puzzle,23,1853.5
FreeViewing,Natural,115,379.4188034188034
FreeViewing,Waldo,123,356.72
Fixation,Waldo,42,987.5111111111111
FreeViewing,Puzzle,139,315.70212765957444
FreeViewing,Natural,129,338.412213740458
Fixation,Natural,60,663.5820895522388
FreeViewing,Waldo,95,454.9166666666667
Fixation,Puzzle,30,1315.2941176470588
FreeViewing,Puzzle,114,388.55652173913046
Fixation,Puzzle,34,1244.888888888889
Fixation,Natural,23,1870.5833333333333
Fixation,Natural,54,783.2982456140351
FreeViewing,Natural,114,392.1578947368421
Fixation,Waldo,31,1399.1875
Fixation,Waldo,17,2032.5454545454545
FreeViewing,Natural,145,299.06756756756755
FreeViewing,Puzzle,106,391.76363636363635
FreeViewing,Puzzle,97,444.92
Fixation,Puzzle,26,1491.0
FreeViewing,Waldo,123,332.91472868217056
Fixation,Natural,25,1656.2222222222222
FreeViewing,Waldo,144,294.3783783783784
Fixation,Waldo,8,4988.222222222223
FreeViewing,Natural,120,361.0894308943089
Fixation,Natural,19,2036.1818181818182
Fixation,Waldo,11,3448.923076923077
FreeViewing,Waldo,128,340.8217054263566
Fixation,Puzzle,21,1949.4782608695652
FreeViewing,Puzzle,120,325.6666666666667
FreeViewing,Natural,82,513.7142857142857
FreeViewing,Waldo,155,285.87179487179486
FreeViewing,Natural,53,829.1111111111111
Fixation,Waldo,29,1440.9032258064517
Fixation,Waldo,9,3443.076923076923
Fixation,Natural,21,2139.4285714285716
Fixation,Puzzle,16,2235.0
Fixation,Natural,19,2135.904761904762
FreeViewing,Puzzle,80,528.3095238095239
FreeViewing,Puzzle,130,334.45112781954884
FreeViewing,Natural,110,389.1578947368421
Fixation,Natural,32,1169.6842105263158
FreeViewing,Waldo,116,379.70940170940173
Fixation,Puzzle,32,1239.5
Fixation,Puzzle,26,1544.344827586207
Fixation,Waldo,7,6395.428571428572
FreeViewing,Waldo,112,399.0357142857143
FreeViewing,Waldo,95,471.22105263157897
FreeViewing,Natural,81,552.4691358024692
Fixation,Waldo,4,11225.5
FreeViewing,Waldo,112,397.35714285714283
FreeViewing,Natural,108,414.31481481481484
Fixation,Puzzle,3,14980.666666666666
Fixation,Puzzle,2,22492.0
Fixation,Waldo,1,44998.0
FreeViewing,Natural,81,540.5365853658536
Fixation,Puzzle,2,22468.0
Fixation,Puzzle,3,14974.0
Fixation,Natural,1,44998.0
Fixation,Natural,6,7475.0
FreeViewing,Natural,80,557.725
Fixation,Natural,1,44994.0
FreeViewing,Waldo,109,410.07339449541286
FreeViewing,Puzzle,114,392.0175438596491
FreeViewing,Waldo,112,396.0357142857143
FreeViewing,Puzzle,125,352.57142857142856
Fixation,Natural,4,11244.5
Fixation,Waldo,1,44998.0
Fixation,Natural,1,44994.0
Fixation,Waldo,2,22498.0
FreeViewing,Puzzle,145,304.26206896551724
FreeViewing,Puzzle,103,427.00970873786406
FreeViewing,Puzzle,136,327.25
Fixation,Puzzle,1,44998.0
FreeViewing,Natural,112,391.125
Fixation,Natural,1,44998.0
FreeViewing,Waldo,84,528.9047619047619
FreeViewing,Puzzle,105,416.6666666666667
Fixation,Natural,1,45000.0
Fixation,Natural,1,44996.0
Fixation,Puzzle,1,44984.0
FreeViewing,Waldo,67,669.7313432835821
Fixation,Waldo,1,44986.0
Fixation,Waldo,1,44994.0
FreeViewing,Waldo,50,884.0
Fixation,Waldo,1,45000.0
Fixation,Waldo,1,44994.0
FreeViewing,Natural,27,1664.0740740740741
Fixation,Natural,1,44986.0
FreeViewing,Waldo,49,916.4489795918367
Fixation,Puzzle,2,22457.0
Fixation,Natural,2,22459.0
Fixation,Puzzle,1,45000.0
FreeViewing,Natural,55,812.6545454545454
FreeViewing,Puzzle,96,466.7916666666667
FreeViewing,Waldo,48,934.0
FreeViewing,Puzzle,103,434.81553398058253
Fixation,Puzzle,2,22452.0
FreeViewing,Puzzle,115,383.0782608695652
FreeViewing,Natural,74,596.1081081081081
Fixation,Waldo,1,44984.0
Fixation,Puzzle,4,11206.5
FreeViewing,Natural,85,524.2823529411764
FreeViewing,Puzzle,99,451.8989898989899
FreeViewing,Natural,60,736.2666666666667
Fixation,Waldo,12,3725.6666666666665
Fixation,Puzzle,14,3202.1428571428573
Fixation,Natural,16,2781.375
Fixation,Natural,16,2791.875
FreeViewing,Natural,149,296.1476510067114
Fixation,Natural,9,4962.0
Fixation,Natural,14,3178.5714285714284
Fixation,Puzzle,11,4051.090909090909
Fixation,Waldo,8,5585.75
Fixation,Waldo,5,8972.4
FreeViewing,Puzzle,116,384.58620689655174
FreeViewing,Waldo,88,505.45454545454544
FreeViewing,Natural,125,353.184
Fixation,Puzzle,7,6399.714285714285
Fixation,Waldo,14,3186.714285714286
FreeViewing,Puzzle,110,405.07272727272726
FreeViewing,Puzzle,121,365.5206611570248
FreeViewing,Waldo,85,525.6
FreeViewing,Natural,135,322.61764705882354
FreeViewing,Puzzle,117,378.1694915254237
FreeViewing,Natural,122,359.55737704918033
Fixation,Puzzle,25,1777.04
Fixation,Natural,2,22441.0
Fixation,Puzzle,11,4071.2727272727275
FreeViewing,Waldo,86,510.51162790697674
FreeViewing,Waldo,51,878.1960784313726
FreeViewing,Waldo,37,1209.8918918918919
Fixation,Waldo,7,6396.0
FreeViewing,Natural,82,543.0487804878048
FreeViewing,Puzzle,92,481.2173913043478
Fixation,Puzzle,6,496.3333333333333
FreeViewing,Puzzle,160,270.7826086956522
FreeViewing,Puzzle,156,283.5668789808917
FreeViewing,Puzzle,151,288.7843137254902
FreeViewing,Waldo,119,300.609375
FreeViewing,Waldo,129,346.51162790697674
Fixation,Puzzle,41,1082.6341463414635
FreeViewing,Puzzle,145,308.2344827586207
Fixation,Natural,63,709.7777777777778
FreeViewing,Puzzle,141,296.8689655172414
Fixation,Natural,38,1182.2105263157894
FreeViewing,Natural,124,360.11290322580646
Fixation,Natural,74,593.2533333333333
FreeViewing,Waldo,149,295.4533333333333
Fixation,Natural,153,285.16339869281046
FreeViewing,Natural,133,336.2406015037594
FreeViewing,Natural,148,302.0
Fixation,Waldo,63,699.3650793650794
FreeViewing,Waldo,141,316.25531914893617
Fixation,Puzzle,61,727.8032786885246
Fixation,Waldo,61,728.3934426229508
Fixation,Waldo,25,1797.44
Fixation,Natural,164,264.0
Fixation,Waldo,45,997.7777777777778
FreeViewing,Waldo,105,426.4190476190476
Fixation,Puzzle,104,426.71153846153845
Fixation,Waldo,37,1214.054054054054
Fixation,Puzzle,71,628.5633802816901
FreeViewing,Natural,107,418.5420560747664
FreeViewing,Natural,143,310.013986013986
FreeViewing,Puzzle,134,331.82089552238807
FreeViewing,Waldo,145,306.09589041095893
Fixation,Natural,68,659.0588235294117
FreeViewing,Waldo,127,346.5625
Fixation,Waldo,61,733.311475409836
Fixation,Natural,29,1549.5862068965516
FreeViewing,Waldo,131,341.41984732824426
FreeViewing,Natural,124,360.9193548387097
FreeViewing,Puzzle,159,280.0377358490566
FreeViewing,Puzzle,164,234.4
Fixation,Puzzle,49,914.4897959183673
FreeViewing,Natural,134,330.13432835820896
Fixation,Natural,61,728.9508196721312
Fixation,Natural,2,22493.0
Fixation,Waldo,26,1726.1538461538462
FreeViewing,Natural,98,457.18367346938777
Fixation,Puzzle,29,1545.7241379310344
FreeViewing,Waldo,81,551.8518518518518
FreeViewing,Puzzle,106,416.1682242990654
Fixation,Puzzle,13,3453.3846153846152
Fixation,Natural,29,1546.8275862068965
Fixation,Puzzle,4,11248.5
FreeViewing,Natural,113,395.929203539823
FreeViewing,Waldo,108,412.9074074074074
FreeViewing,Natural,140,316.8285714285714
Fixation,Waldo,5,8996.8
Fixation,Puzzle,18,2493.222222222222
Fixation,Waldo,37,1198.972972972973
FreeViewing,Puzzle,102,376.14814814814815
Fixation,Waldo,4,11246.0
Fixation,Waldo,31,1422.3870967741937
FreeViewing,Waldo,97,460.02061855670104
Fixation,Puzzle,74,600.0540540540541
Fixation,Waldo,18,2490.1111111111113
FreeViewing,Natural,136,328.80882352941177
Fixation,Waldo,23,1950.8695652173913
Fixation,Puzzle,45,987.0222222222222
FreeViewing,Waldo,84,532.8809523809524
FreeViewing,Waldo,106,417.49056603773585
FreeViewing,Puzzle,120,371.93333333333334
Fixation,Waldo,5,8998.4
FreeViewing,Puzzle,125,357.552
FreeViewing,Puzzle,127,332.3565891472868
FreeViewing,Natural,121,369.5702479338843
Fixation,Puzzle,27,1664.2962962962963
Fixation,Natural,33,1359.1515151515152
FreeViewing,Waldo,116,385.82758620689657
Fixation,Natural,39,1151.7948717948718
FreeViewing,Natural,168,264.1190476190476
FreeViewing,Natural,120,373.0
Fixation,Natural,26,1725.8461538461538
FreeViewing,Natural,131,341.2519083969466
FreeViewing,Puzzle,161,275.320987654321
Fixation,Waldo,6,7498.333333333333
Fixation,Natural,13,3456.153846153846
Fixation,Puzzle,24,1872.4166666666667
Fixation,Puzzle,31,1447.1612903225807
FreeViewing,Waldo,137,321.6350364963504
FreeViewing,Puzzle,132,338.93939393939394
Fixation,Natural,72,603.6216216216217
