Task,Stimulus,N Fixations,Fixation Durations (in sec),N Saccades,Mean Saccade Distances (in pix),Mean Saccade Durations (in sec),Time Interval
FreeViewing,Puzzle,93,0.47711827956989256,36,235.32012219065876,0.02005555555555544,0
Fixation,Natural,4,11.2305,1,106.72222460668628,0.010000000000001563,1
FreeViewing,Waldo,78,0.5740769230769234,46,69.5107220201816,0.007695652173912872,1
Fixation,Puzzle,8,5.621499999999999,0,,,0
Fixation,Puzzle,8,5.621499999999999,7,12.903336846615035,0.002285714285715049,1
Fixation,Natural,6,7.491666666666667,1,227.63554692753942,0.019999999999999574,1
Fixation,Waldo,10,4.49,2,81.02642155662426,0.006999999999999673,0
Fixation,Waldo,6,7.4970000000000026,0,,,0
Fixation,Waldo,6,7.4970000000000026,5,46.85918833718381,0.0051999999999992495,1
Fixation,Waldo,4,11.2485,3,105.12465723256412,0.00799999999999971,0
Fixation,Waldo,4,11.2485,0,,,1
Fixation,Waldo,3,14.965333333333334,1,205.36144745302119,0.014000000000000234,0
FreeViewing,Waldo,61,0.7351803278688527,23,45.50712605007596,0.005565217391304497,0
Fixation,Puzzle,5,8.9968,0,,,0
Fixation,Puzzle,5,8.9968,4,85.51374368615899,0.00849999999999973,1
Fixation,Puzzle,2,22.494999999999997,1,172.2377746750114,0.012000000000000455,0
Fixation,Puzzle,2,22.494999999999997,0,,,1
Fixation,Natural,1,44.982,0,,,0
Fixation,Natural,1,44.982,0,,,1
Fixation,Puzzle,1,44.994,0,,,0
Fixation,Puzzle,1,44.994,0,,,1
FreeViewing,Puzzle,95,0.4697894736842104,43,252.31341793682373,0.022790697674418568,0
Fixation,Puzzle,13,3.4555384615384614,5,148.42799850847564,0.012799999999999834,0
FreeViewing,Waldo,52,0.8632692307692305,20,85.80163919502482,0.009299999999999775,0
FreeViewing,Waldo,52,0.8632692307692305,31,69.66870591438712,0.00787096774193559,1
Fixation,Waldo,8,5.6232500000000005,2,135.31218423885088,0.01200000000000001,0
Fixation,Waldo,8,5.6232500000000005,5,102.61297345102855,0.009199999999999164,1
Fixation,Natural,5,8.9964,1,205.15251210989348,0.020000000000003126,0
Fixation,Natural,5,8.9964,3,111.90369785768245,0.008666666666667785,1
Fixation,Natural,37,1.173,19,71.0863741759504,-0.7781052631578949,1
Fixation,Puzzle,27,1.655925925925925,10,102.78131977325422,0.01100000000000021,0
Fixation,Waldo,15,2.9898666666666665,6,123.57221300515725,0.015333333333333718,1
Fixation,Waldo,7,6.410571428571428,0,,,1
FreeViewing,Waldo,116,0.3791111111111112,63,38.26250959257222,-0.24038095238095253,1
Fixation,Natural,4,11.214,0,,,1
Fixation,Waldo,5,8.9612,0,,,1
Fixation,Natural,13,3.407538461538461,0,,,1
Fixation,Natural,15,2.997733333333333,2,95.80337681348473,0.015000000000000568,0
Fixation,Natural,15,2.997733333333333,12,66.24238853118776,0.008000000000000895,1
Fixation,Natural,13,3.4586153846153853,7,186.291812871888,0.023142857142857527,0
Fixation,Natural,13,3.4586153846153853,5,136.16269488322686,0.016799999999998504,1
Fixation,Puzzle,43,1.0445116279069768,8,87.22039594449004,0.011000000000000398,0
Fixation,Puzzle,43,1.0445116279069768,34,142.13866779101684,0.017470588235293943,1
Fixation,Puzzle,31,1.4452903225806448,16,167.30407911294645,0.020500000000000407,1
Fixation,Waldo,21,2.140571428571429,10,181.78245339427525,0.02000000000000033,0
Fixation,Waldo,21,2.140571428571429,10,129.58356799381363,0.016400000000000147,1
Fixation,Waldo,31,1.4492903225806455,16,90.29132030657439,0.011374999999999691,0
Fixation,Waldo,31,1.4492903225806455,14,123.90878689629217,0.015571428571428061,1
Fixation,Natural,19,2.3554736842105264,3,177.1118929261049,0.023333333333333428,1
Fixation,Puzzle,29,1.543931034482759,12,104.29993400021173,0.014666666666666828,1
Fixation,Puzzle,41,1.0923902439024389,25,59.65367570378608,0.008400000000000034,1
FreeViewing,Waldo,101,0.42423762376237606,50,77.15661353346057,0.011079999999999899,1
Fixation,Waldo,19,2.362105263157894,10,84.54900254086687,0.011600000000001743,1
Fixation,Natural,18,2.4971111111111113,11,100.39007988109996,0.01363636363636385,0
Fixation,Natural,18,2.4971111111111113,6,62.82026631222235,0.011000000000000417,1
Fixation,Waldo,9,4.996444444444446,5,41.34390605161271,0.005600000000000094,0
Fixation,Waldo,9,4.996444444444446,3,68.42895451818764,0.009333333333332897,1
Fixation,Waldo,17,2.6389411764705883,7,36.19132009616236,0.005714285714284577,1
Fixation,Puzzle,7,6.415714285714286,0,,,1
FreeViewing,Waldo,112,0.39272566371681417,45,108.96851024986928,0.014799999999999999,0
FreeViewing,Waldo,76,0.563552631578947,29,135.49943200232116,0.016344827586207027,0
FreeViewing,Waldo,110,0.39169911504424787,42,140.35995509517966,0.018047619047619153,0
FreeViewing,Waldo,77,0.5780519480519477,31,103.41037320671806,0.013935483870967855,0
FreeViewing,Waldo,42,1.064238095238095,17,58.111038413349284,0.0065882352941176395,0
FreeViewing,Natural,73,0.6113424657534241,36,61.74277796846078,0.006722222222222839,1
FreeViewing,Waldo,74,0.6041081081081081,36,67.04169662680923,0.007944444444444384,0
FreeViewing,Puzzle,103,0.4257500000000002,48,269.2250986010841,0.49558333333333354,1
Fixation,Natural,5,8.9476,2,32.202181700158135,0.004999999999999005,1
FreeViewing,Waldo,42,1.0652380952380955,24,27.57164821043115,0.003583333333333457,0
Fixation,Natural,13,3.3729230769230765,2,82.25956030776062,0.008000000000000007,0
FreeViewing,Puzzle,80,0.5605250000000002,40,272.0992852028815,0.02705000000000002,0
FreeViewing,Puzzle,80,0.5605250000000002,39,317.24769926713185,0.03143589743589723,1
Fixation,Puzzle,3,14.947333333333333,1,76.78075019169844,0.008000000000000007,0
FreeViewing,Natural,81,0.5533827160493825,35,109.78283120829056,0.012571428571428577,0
FreeViewing,Natural,81,0.5533827160493825,45,80.24674531933223,0.01053333333333381,1
FreeViewing,Natural,110,0.39261818181818203,56,64.15721111648676,0.008464285714285693,0
FreeViewing,Waldo,56,0.8014642857142855,24,110.82871894300274,0.012750000000000131,0
FreeViewing,Waldo,56,0.8014642857142855,31,120.98518174015577,0.013935483870967583,1
Fixation,Waldo,4,11.247,2,9.33844798601881,0.0020000000000000018,0
Fixation,Waldo,4,11.247,1,109.57059642075512,0.012000000000000455,1
Fixation,Puzzle,7,6.380857142857141,2,49.73958943411377,0.008000000000000007,0
Fixation,Puzzle,11,4.08890909090909,7,65.9294975540159,0.009142857142856961,0
Fixation,Puzzle,11,4.08890909090909,3,114.46296782040584,0.016000000000000607,1
FreeViewing,Natural,88,0.5090909090909089,36,98.75685926279301,0.014111111111111204,0
FreeViewing,Natural,88,0.5090909090909089,50,64.47313330743357,-0.2744399999999999,1
FreeViewing,Natural,85,0.5095764705882359,27,104.06516061567399,0.014518518518518417,0
FreeViewing,Natural,85,0.5095764705882359,56,58.719692862565246,0.008678571428571123,1
FreeViewing,Waldo,81,0.5458048780487803,24,81.61395554677013,0.011916666666666983,0
FreeViewing,Waldo,81,0.5458048780487803,56,60.79091595413917,0.00971428571428566,1
Fixation,Waldo,7,6.425142857142856,3,27.02439328782178,0.0040000000000000036,0
Fixation,Waldo,7,6.425142857142856,3,70.53872637236768,0.008000000000003856,1
Fixation,Waldo,5,8.9972,2,63.17906380207499,0.008999999999999897,0
Fixation,Waldo,5,8.9972,2,74.53030973428054,0.009000000000000341,1
Fixation,Natural,6,7.496666666666669,4,79.46784497267889,0.013500000000000068,0
Fixation,Natural,6,7.496666666666669,1,154.47812013356457,0.021999999999998465,1
Fixation,Natural,2,22.497999999999998,0,,,0
Fixation,Natural,2,22.497999999999998,1,106.32289687550843,0.018000000000000682,1
Fixation,Natural,11,4.066000000000001,2,46.31112275097608,0.004999999999999005,1
FreeViewing,Natural,64,0.6884923076923077,39,81.80367381911,0.012871794871794911,0
FreeViewing,Natural,64,0.6884923076923077,24,76.07823663229196,0.009083333333333036,1
Fixation,Puzzle,6,7.498333333333334,4,30.073196146171725,0.0055000000000006155,0
Fixation,Puzzle,6,7.498333333333334,1,65.4189622739462,0.006000000000000227,1
FreeViewing,Puzzle,102,0.43915686274509796,56,186.63346410306698,0.019214285714285666,0
FreeViewing,Puzzle,102,0.43915686274509796,45,278.98411543503374,0.02800000000000027,1
FreeViewing,Waldo,43,1.0414883720930235,17,69.96924206986024,0.0088235294117647,0
Fixation,Waldo,7,6.426571428571429,5,25.741220320568726,0.004399999999999871,0
Fixation,Waldo,7,6.426571428571429,1,80.42459574035793,0.007999999999995566,1
FreeViewing,Puzzle,91,0.49068131868131837,49,220.29095126780445,0.022040816326530738,0
Fixation,Waldo,2,22.493,0,,,0
Fixation,Waldo,2,22.493,1,79.08775442506888,0.010000000000001563,1
Fixation,Puzzle,5,8.9952,1,59.23502363467073,0.007999999999999119,0
Fixation,Puzzle,5,8.9952,3,10.082539117352525,0.002666666666666373,1
FreeViewing,Natural,98,0.4570204081632655,49,82.31247848953957,0.010816326530612137,0
Fixation,Waldo,6,7.498,3,84.6929217056774,0.011333333333332751,0
Fixation,Waldo,6,7.498,2,44.21582952441509,0.006999999999997897,1
FreeViewing,Natural,94,0.47661702127659566,40,116.27248179830733,0.013599999999999701,0
Fixation,Puzzle,4,11.248499999999998,1,63.3369686675957,0.010000000000000231,0
Fixation,Puzzle,4,11.248499999999998,2,63.87020998944511,0.009000000000002117,1
FreeViewing,Puzzle,104,0.42424761904761904,43,283.26693970596295,0.028139534883720785,1
Fixation,Natural,3,14.998,2,32.07862160668938,0.004999999999999005,0
Fixation,Natural,3,14.998,0,,,1
Fixation,Puzzle,12,3.7275000000000005,2,26.738738408240593,0.004999999999999005,1
FreeViewing,Puzzle,120,0.37218333333333325,68,177.39348556264818,0.019029411764706516,1
FreeViewing,Waldo,72,0.6218888888888894,33,42.54723403054098,0.006363636363636154,0
Fixation,Natural,9,4.980666666666666,4,32.846827527335975,0.004000000000001336,1
FreeViewing,Puzzle,90,0.4961999999999997,48,264.6802779517943,0.026125000000000398,1
FreeViewing,Waldo,43,1.0419069767441862,29,80.98702618696886,0.009034482758620092,1
FreeViewing,Puzzle,93,0.47965591397849444,50,215.7375672108271,0.019479999999999893,0
FreeViewing,Natural,74,0.606135135135135,41,50.180164974792326,0.005853658536585485,0
FreeViewing,Natural,74,0.606135135135135,32,72.16639549500721,0.008125000000000049,1
FreeViewing,Puzzle,78,0.5705384615384614,34,174.19552349029834,0.015117647058823255,0
FreeViewing,Puzzle,78,0.5705384615384614,42,172.59216002258935,0.014952380952381208,1
Fixation,Puzzle,4,11.248499999999998,1,80.22468448052628,0.005999999999999339,0
Fixation,Puzzle,4,11.248499999999998,2,31.31997888310406,0.004000000000001336,1
FreeViewing,Puzzle,68,0.658529411764706,41,194.92904091840438,0.017414634146340997,1
Fixation,Natural,9,4.977555555555555,2,148.30364052975884,0.014000000000000234,0
Fixation,Puzzle,3,14.941333333333333,1,19.973337853248328,0.003999999999997783,1
Fixation,Waldo,3,14.994,0,,,0
Fixation,Waldo,3,14.994,2,34.4199839418519,0.0039999999999995595,1
FreeViewing,Waldo,47,0.9542978723404256,18,60.72573227846777,0.00711111111111171,1
FreeViewing,Natural,68,0.6575294117647056,32,79.63614801839654,0.009062500000000117,0
Fixation,Puzzle,5,8.9316,1,16.7131355526125,0.0040000000000048885,1
Fixation,Puzzle,2,22.491,0,,,0
Fixation,Puzzle,2,22.491,1,70.7168666231756,0.007999999999999119,1
FreeViewing,Natural,66,0.6786666666666664,25,47.31230250992322,0.005440000000001106,1
FreeViewing,Natural,185,0.23927956989247312,87,141.6572798261008,0.017862068965517237,0
Fixation,Natural,23,1.9491304347826093,12,46.76312673969036,0.007500000000000284,1
Fixation,Puzzle,61,0.735311475409836,21,85.67408056214096,0.011047619047618841,0
Fixation,Waldo,35,1.2804571428571423,14,39.03835548003453,0.005714285714286608,1
Fixation,Waldo,25,1.7266153846153842,18,52.433141857877,0.007222222222222425,0
FreeViewing,Waldo,170,0.25132947976878617,85,159.5621380046693,0.39204705882352947,1
FreeViewing,Waldo,157,0.2665874999999999,79,35.399120471735195,-0.21164556962025316,0
Fixation,Puzzle,42,1.0638571428571428,25,62.163084392730546,0.010079999999999893,0
Fixation,Waldo,47,0.947531914893617,19,32.97149088806272,0.006000000000000601,1
Fixation,Natural,25,1.7922399999999996,10,152.4754696898173,0.01980000000000003,0
Fixation,Natural,19,2.3560000000000003,3,9.16407200692507,0.0026666666666666683,0
FreeViewing,Waldo,75,0.4588000000000001,35,139.38529012936317,0.03319999999999993,0
Fixation,Puzzle,32,1.3996874999999993,19,40.192945586887184,0.0068421052631580295,1
Fixation,Puzzle,41,1.0931219512195123,11,69.32535698474072,0.011454545454545382,0
Fixation,Puzzle,41,1.0931219512195123,28,33.22990131663406,0.005500000000000124,1
Fixation,Waldo,25,1.7899199999999995,7,58.357225837970695,0.00714285714285826,1
FreeViewing,Waldo,152,0.2836732026143794,79,103.00591117373628,0.016227848101265693,0
Fixation,Natural,19,2.360210526315789,5,130.86548816900594,0.019200000000000012,0
Fixation,Waldo,9,4.984444444444444,1,0.43863424398922896,0.002,0
Fixation,Puzzle,3,14.993333333333332,2,10.590943141953863,0.003000000000000002,0
Fixation,Puzzle,3,14.993333333333332,0,,,1
FreeViewing,Puzzle,150,0.29790666666666643,80,148.40759813586428,0.01587500000000035,1
FreeViewing,Natural,127,0.34399999999999986,54,93.29438316530845,0.016666666666666715,0
FreeViewing,Natural,127,0.34399999999999986,71,101.09199838592136,0.13580281690140864,1
Fixation,Puzzle,10,4.490600000000001,0,,,1
FreeViewing,Natural,143,0.3126153846153846,63,67.35159460257125,0.009523809523809542,0
Fixation,Natural,34,1.3201764705882346,2,36.36884777956332,0.007000000000000005,0
FreeViewing,Waldo,150,0.2908947368421051,82,92.52500762487112,0.017853658536585132,1
Fixation,Waldo,14,3.2115714285714287,5,52.92143086601955,0.010399999999999965,0
Fixation,Waldo,14,3.2115714285714287,8,45.33380497929345,0.005499999999999172,1
Fixation,Puzzle,35,1.2832000000000001,17,14.660483818410254,0.0037647058823526572,0
Fixation,Puzzle,35,1.2832000000000001,17,21.568582221888395,0.004235294117646593,1
FreeViewing,Waldo,129,0.3300153846153848,68,56.57304935799796,-0.19523529411764717,0
Fixation,Natural,34,1.3194705882352935,18,31.470597060169204,0.00533333333333361,0
Fixation,Waldo,3,14.944,0,,,1
Fixation,Waldo,9,4.982666666666666,0,,,1
FreeViewing,Waldo,39,0.44348837209302344,24,41.92261479299239,-0.6327500000000005,1
Fixation,Puzzle,17,2.636705882352942,8,75.30575888213497,0.009499999999998732,1
FreeViewing,Puzzle,178,0.25073033707865167,79,172.61033654037593,0.019341772151898525,0
FreeViewing,Puzzle,178,0.25073033707865167,98,136.56232992079467,0.017306122448979826,1
FreeViewing,Waldo,156,0.27701265822784826,63,92.78878245878529,0.01711111111111104,0
FreeViewing,Natural,172,0.25719767441860447,76,65.49424856556443,0.01128947368421065,0
FreeViewing,Puzzle,228,0.18806060606060612,83,109.96384195309922,0.012530120481927757,0
FreeViewing,Natural,170,0.2621176470588234,92,64.64502026730281,0.00832608695652199,1
Fixation,Natural,22,2.037454545454546,14,60.96314590253521,0.007714285714285245,1
Fixation,Natural,36,1.2437777777777776,7,65.0981401502021,0.01000000000000004,1
Fixation,Puzzle,18,2.4978888888888893,11,68.00689282630066,0.009818181818181865,0
Fixation,Puzzle,18,2.4978888888888893,6,62.97499110422634,0.008666666666665416,1
FreeViewing,Natural,83,0.5255294117647056,53,78.70676237693584,0.01094339622641533,1
Fixation,Natural,20,2.2398000000000002,2,20.21336422059352,0.0040000000000000036,0
Fixation,Waldo,4,11.248,3,21.07819482186085,0.005333333333333338,0
Fixation,Waldo,4,11.248,0,,,1
FreeViewing,Waldo,106,0.4103962264150942,40,114.96543903921751,0.14600000000000007,1
Fixation,Natural,14,3.207857142857143,0,,,1
FreeViewing,Waldo,111,0.38796428571428615,65,39.5468469334482,-0.13578461538461595,1
Fixation,Waldo,19,2.365263157894737,11,14.954117391610962,0.003272727272726751,1
Fixation,Waldo,11,4.064,0,,,0
Fixation,Puzzle,13,3.4386153846153844,1,1.6465190554621805,0.002,0
